"url","price","course_by","title","skills","ratings","reviews","level, type and duration"
"https://www.coursera.org/learn/dialisis-peritoneal","Free","Universidad Nacional Autónoma de México","Diálisis peritoneal","","4.9","(868 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/abc-sustainability","Free","Campus BBVA","The ABC of sustainability","Marketing, Strategy and Operations, Brand Management, Entrepreneurship, Leadership and Management, Sales, Strategy, Critical Thinking","4.4","(8 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/ecologie-politique","Free","University of Lausanne","Ecologie Politique: défi de la durabilité pour les démocraties","Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","4.7","(194 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/afrique-mondialisation","Free","Sciences Po","Afrique et mondialisation, regards croisés","Digital Marketing, Marketing","4.7","(174 reviews)","Beginner · Course · 3-6 Months"
"https://www.coursera.org/learn/troubles-spectre-autisme-biologie-neurosciences","Free","University of Geneva","Troubles du spectre de l'autisme : biologie et neurosciences","","4.9","(103 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/antisemitism","Free","Yad Vashem","Antisemitism: From Its Origins to the Present","","4.8","(55 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/geopolitique","Free","Sciences Po","Géopolitique de l'Europe","Entrepreneurship, Leadership and Management, Communication, Econometrics, General Statistics, Market Research, Marketing, Probability & Statistics, Public Relations, Research and Design, Business Psychology, Culture, Sales, Security Engineering, Security Strategy, Strategy, Strategy and Operations","4.5","(320 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/whendisastermeetsconflict","Free","Erasmus University Rotterdam","When Disaster Meets Conflict","Conflict Management, Human Resources, Leadership and Management, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations, Collaboration, Communication","4.8","(52 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/animer-seance-collaborative","Free","ESSEC Business School","Animer une séance collaborative","Collaboration, Communication, Leadership and Management, Conflict Management, Human Resources","4.5","(512 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/learning-how-to-learn-youth","Free","Arizona State University","Learning How To Learn for Youth","Business Psychology, Entrepreneurship, Human Learning","4.8","(2.6k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/finanzen","Free","University of Zurich","Das liebe Geld - Finance im Alltag","Finance","4.7","(122 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/financial-markets-global-fr","Free","Yale University","Marchés financiers","Finance, Business Psychology, Risk Management, Culture, Leadership and Management","4.8","(24 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/health-concepts-chinese-medicine","Free","The Hong Kong University of Science and Technology","Health Concepts in Chinese Medicine","Data Visualization, Scientific Visualization","4.7","(337 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/mecanique-quantique","Free","École Polytechnique","Mécanique quantique","General Statistics, Mathematics, Probability & Statistics, Probability Distribution","4.8","(123 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/droits-de-lhomme","Free","University of Geneva","Introduction aux Droits de l’Homme","","4.9","(1.6k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/old-norse-mythology-sources","Free","University of Colorado Boulder","Old Norse Mythology in the Sources","Business Psychology, Culture, Leadership and Management, Computer Graphics, Human Computer Interaction, Interactive Design","4.6","(187 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/historical-fiction","Free","University of Virginia","Plagues, Witches, and War: The Worlds of Historical Fiction","Business Analysis, Communication, Critical Thinking, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Storytelling, Strategy and Operations, Writing","4.6","(543 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/langues-diversite","Free","University of Geneva","Langues et diversité: de la variation au plurilinguisme","","4.8","(20 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/density-functional-theory","Free","École Polytechnique","Density Functional Theory","Calculus, Mathematics","4.9","(144 reviews)","Advanced · Course · 1-4 Weeks"
"https://www.coursera.org/learn/humanidades-digitales","Free","Universitat Autònoma de Barcelona","Humanidades digitales","Big Data, Data Management, Human Computer Interaction, Business Psychology, Culture, Leadership and Management, Communication, Marketing, Social Media","4.6","(798 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/knowing-the-universe","Free","University of Arizona","Knowing the Universe: History and Philosophy of Astronomy","Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","","","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/ibm-building-cloud-native-and-multicloud","Free","IBM Skills Network","Building Cloud Native and Multicloud","Cloud Computing, Cloud Infrastructure, Continuous Delivery, Continuous Integration, DevOps, Cloud Platforms","4.9","(10 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/arts-culture-innovation","Free","Vanderbilt University","Leading Innovation in Arts and Culture","Business Psychology, Communication, Creativity, Culture, Entrepreneurship, Innovation, Leadership and Management, Planning, Supply Chain and Logistics","4.4","(56 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/risk-in-modern-society","Free","Universiteit Leiden","Risk in Modern Society","Finance, Leadership and Management, Risk Management, Security Engineering, Cyberattacks, Entrepreneurship, Marketing, Sales, Strategy, Strategy and Operations","4.7","(186 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/chimp","Free","Duke University","Chimpanzee Behavior and Conservation","Behavioral Economics, Business Psychology","4.9","(252 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/data-management","Free","The University of North Carolina at Chapel Hill","Research Data Management and Sharing","Data Management, Computer Networking, Security Engineering, Security Strategy","4.7","(643 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/negotiation-ru","Free","Yale University","Введение: как стать убедительным переговорщиком","Communication, Marketing, Negotiation, Sales","5.0","(8 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/russian-history-lenin-putin","Free","University of California, Santa Cruz","Russian History: from Lenin to Putin","Business Psychology, Culture, Leadership and Management","4.7","(686 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/environmental-management-ethics","Free","Technical University of Denmark (DTU)","Environmental Management & Ethics","Entrepreneurship, Leadership and Management, Strategy and Operations, Finance, Regulations and Compliance, Business Analysis, Critical Thinking, Decision Making, Human Resources, Leadership Development, Marketing, People Management, Problem Solving, Project Management, Research and Design, Sales, Strategy","4.6","(326 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/bioinformatics-pku","Free","Peking University","Bioinformatics: Introduction and Methods 生物信息学: 导论与方法","Bioinformatics, Probability & Statistics, Algorithms, Theoretical Computer Science, Databases, Human Computer Interaction, Machine Learning, Markov Model, User Experience","4.4","(238 reviews)","Mixed · Course · 3-6 Months"
"https://www.coursera.org/learn/biomedvis","Free","University of Glasgow","Biomedical Visualisation","Data Visualization, Computer Graphics, Visualization (Computer Graphics), Human Computer Interaction, Scientific Visualization, Virtual Reality, Computer Graphic Techniques","4.6","(333 reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/ancient-greeks","Free","Wesleyan University","The Ancient Greeks","Business Psychology, Culture, Leadership and Management","4.7","(1.9k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/microscopy","Free","École Polytechnique Fédérale de Lausanne","Transmission electron microscopy for materials science","Algorithms, Theoretical Computer Science, Business Analysis, Process Analysis, Data Visualization, Experiment, Linear Algebra, Mathematics, Probability & Statistics, Research and Design, Scientific Visualization","4.6","(104 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/teaching-plan","Free","Commonwealth Education Trust","Foundations of Teaching for Learning: Planning for Teaching and Learning","Leadership and Management, Business Psychology, Entrepreneurship, Human Learning, Human Resources, Professional Development, People Development, Accounting, Deep Learning, Leadership Development","4.8","(185 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/unwritten-constitution","Free","Yale University","America's Unwritten Constitution","Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","4.8","(254 reviews)","Mixed · Course · 3-6 Months"
"https://www.coursera.org/learn/analisis-sistemas-electricos-y-transicion-energetica","Free","Universidad de los Andes","Análisis de Sistemas Eléctricos y Transición Energética","","4.9","(27 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/circadian-clocks","Free","Ludwig-Maximilians-Universität München (LMU)","Circadian clocks: how rhythms structure life","","4.8","(190 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/race-cultural-diversity-american-life","Free","University of Illinois at Urbana-Champaign","Race and Cultural Diversity in American Life and History","Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","4.6","(294 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/the-beatles","Free","University of Rochester","The Music of the Beatles","Business Psychology, Culture, Leadership and Management, Communication","4.8","(712 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/jerusalem","Free","Tel Aviv University","The Fall and Rise of Jerusalem","Business Psychology, Culture, Leadership and Management","4.6","(323 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/acute-stroke-race-scale","Free","Universitat de Barcelona","Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale","Epidemiology, Probability & Statistics, Planning, Sales, Strategy and Operations, Supply Chain and Logistics","4.8","(97 reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/ai-empathy-ethics","Free","University of California, Santa Cruz","AI, Empathy & Ethics","Artificial Neural Networks, Computer Vision, Machine Learning","3.7","(6 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/power-sample-size","Free","University of Florida","Power and Sample Size for Multilevel and Longitudinal Study Designs","Research and Design, Probability & Statistics, General Statistics, Data Analysis, Business Analysis, Epidemiology, Experiment, Statistical Analysis, Correlation And Dependence","4.3","(35 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/valuecreation","Free","Northeastern University","Innovation for Impact (i4i) The Carlson-Polizzotto Method of Value Creation","Advertising, Communication, Critical Thinking, Design and Product, Entrepreneurship, Human Computer Interaction, Innovation, Leadership and Management, Market Research, Marketing, Problem Solving, Research and Design, Sales, Strategy, Strategy and Operations, User Research","4.8","(31 reviews)","Beginner · Course · 1-4 Weeks"
